1	14	8	30
2	15	8	32
3	27	12	55
4	7	5	16
5	12	7	26
6	8	5	17
7	41	17	83
8	0	3	1
9	49	19	99
10	3	4	8
11	0	3	19
12	41	17	60
13	9	6	6
14	29	13	61
15	2	3	58
16	30	13	59
17	49	19	67
18	28	12	34
19	29	12	18
20	33	14	54
21	16	8	93
22	8	6	3
23	26	12	52
24	46	18	48
25	46	18	47
26	1	3	51
27	25	11	9
28	27	12	71
29	23	11	44
30	23	10	40
31	25	11	7
32	4	4	70
33	4	4	89
34	35	14	36
35	23	11	68
36	21	10	81
37	19	9	45
38	29	12	84
39	3	4	11
40	3	4	86
41	34	14	20
42	44	18	76
43	17	9	95
44	33	14	97
45	40	16	12
46	22	10	78
47	41	17	62
48	5	4	23
49	42	17	24
50	46	18	65
51	9	6	29
52	37	15	53
53	47	18	57
54	48	19	75
55	25	11	49
56	5	5	13
57	38	16	63
58	30	13	21
59	11	6	82
60	11	7	42
61	32	14	69
62	14	7	56
63	26	11	27
64	26	11	15
65	28	12	66
66	46	18	41
67	37	15	37
68	24	11	72
69	6	5	80
70	31	13	25
71	10	6	100
72	19	9	31
73	25	11	50
74	25	11	98
75	48	19	77
76	22	10	43
77	40	16	5
78	42	17	46
79	6	5	85
80	23	11	74
81	9	6	39
82	20	10	22
83	34	14	14
84	27	12	33
85	13	7	92
86	37	15	88
87	7	5	94
88	6	5	79
89	9	6	96
90	17	9	28
91	32	14	38
92	38	16	90
93	17	9	73
94	41	17	87
95	21	10	35
96	20	9	2
97	18	9	64
98	41	17	91
99	5	4	4
100	44	18	10
